NO_OF_FRAMES	5618
NO_OF_CAMERAS	13
NO_OF_MARKERS	6
FREQUENCY	120
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-10-10, 15:47:17.423	14041227.18119250
DATA_INCLUDED	3D
MARKER_NAMES	hand	R wrist	L wrist	R elbow	L elbow	
TRAJECTORY_TYPES	Mixed	Measured	Measured	Mixed	Measured	Mixed
hand X	hand Y	hand Z	R wrist X	R wrist Y	R wrist Z	L wrist X	L wrist Y	L wrist Z	R elbow X	R elbow Y	R elbow Z	L elbow X	L elbow Y	L elbow Z	 X	 Y	 Z	
251.387	194.734	62.781	0.000	0.000	0.000	0.000	0.000	0.000	-14.361	-33.935	18.025	-17.175	-32.267	97.342	173.150	-225.056	-10.663
251.378	194.728	62.780	0.000	0.000	0.000	0.000	0.000	0.000	-14.367	-33.950	18.023	-17.177	-32.267	97.338	173.156	-225.047	-10.662
251.369	194.721	62.779	0.000	0.000	0.000	0.000	0.000	0.000	-14.365	-33.947	18.015	-17.188	-32.268	97.339	173.162	-225.055	-10.659
251.360	194.724	62.786	0.000	0.000	0.000	0.000	0.000	0.000	-14.367	-33.949	18.019	-17.196	-32.270	97.338	173.158	-225.055	-10.670
251.350	194.718	62.785	0.000	0.000	0.000	0.000	0.000	0.000	-14.371	-33.944	18.013	-17.198	-32.269	97.330	173.162	-225.055	-10.659
251.342	194.721	62.793	0.000	0.000	0.000	0.000	0.000	0.000	-14.378	-33.945	18.011	-17.201	-32.271	97.330	173.158	-225.054	-10.669
251.342	194.721	62.793	0.000	0.000	0.000	0.000	0.000	0.000	-14.375	-33.935	18.013	-17.210	-32.277	97.323	173.162	-225.055	-10.659
251.350	194.727	62.803	0.000	0.000	0.000	0.000	0.000	0.000	-14.385	-33.930	18.006	-17.212	-32.275	97.325	173.150	-225.056	-10.662
251.351	194.727	62.794	0.000	0.000	0.000	0.000	0.000	0.000	-14.394	-33.919	18.003	-17.221	-32.273	97.320	173.158	-225.054	-10.669
251.340	194.720	62.801	0.000	0.000	0.000	0.000	0.000	0.000	-14.401	-33.907	18.002	-17.232	-32.271	97.321	173.152	-225.045	-10.671
251.340	194.720	62.801	0.000	0.000	0.000	0.000	0.000	0.000	-14.412	-33.904	17.995	-17.238	-32.274	97.319	173.139	-225.053	-10.672
251.332	194.714	62.790	0.000	0.000	0.000	0.000	0.000	0.000	-14.417	-33.916	17.990	-17.246	-32.274	97.313	173.157	-225.054	-10.669
251.331	194.715	62.789	0.000	0.000	0.000	0.000	0.000	0.000	-14.421	-33.911	17.985	-17.253	-32.278	97.314	173.140	-225.046	-10.674
251.331	194.715	62.789	0.000	0.000	0.000	0.000	0.000	0.000	-14.427	-33.909	17.989	-17.261	-32.275	97.314	173.157	-225.054	-10.669
251.324	194.718	62.789	0.000	0.000	0.000	0.000	0.000	0.000	-14.432	-33.906	17.992	-17.262	-32.274	97.312	173.145	-225.054	-10.672
251.322	194.718	62.797	0.000	0.000	0.000	0.000	0.000	0.000	-14.436	-33.918	17.992	-17.274	-32.272	97.321	173.145	-225.054	-10.672
251.314	194.711	62.797	0.000	0.000	0.000	0.000	0.000	0.000	-14.445	-33.909	18.004	-17.282	-32.271	97.331	173.146	-225.043	-10.671
251.303	194.705	62.794	0.000	0.000	0.000	0.000	0.000	0.000	-14.445	-33.911	18.005	-17.286	-32.263	97.340	173.151	-225.055	-10.671
251.313	194.700	62.806	0.000	0.000	0.000	0.000	0.000	0.000	-14.458	-33.900	18.016	-17.295	-32.270	97.354	173.140	-225.045	-10.674
251.306	194.703	62.806	0.000	0.000	0.000	0.000	0.000	0.000	-14.463	-33.910	18.023	-17.305	-32.269	97.365	173.139	-225.053	-10.672
251.296	194.697	62.804	0.000	0.000	0.000	0.000	0.000	0.000	-14.467	-33.908	18.035	-17.312	-32.271	97.376	173.152	-225.044	-10.670
251.298	194.697	62.796	0.000	0.000	0.000	0.000	0.000	0.000	-14.477	-33.901	18.043	-17.319	-32.274	97.380	173.135	-225.044	-10.684
251.278	194.694	62.801	0.000	0.000	0.000	0.000	0.000	0.000	-14.485	-33.908	18.051	-17.334	-32.275	97.389	173.139	-225.045	-10.674
251.267	194.688	62.798	0.000	0.000	0.000	0.000	0.000	0.000	-14.493	-33.914	18.049	-17.351	-32.276	97.397	173.152	-225.044	-10.670
251.270	194.688	62.791	0.000	0.000	0.000	0.000	0.000	0.000	-14.504	-33.916	18.050	-17.359	-32.269	97.394	173.152	-225.044	-10.670
251.251	194.685	62.797	0.000	0.000	0.000	0.000	0.000	0.000	-14.503	-33.908	18.051	-17.367	-32.263	97.396	173.147	-225.043	-10.681
251.269	194.687	62.799	0.000	0.000	0.000	0.000	0.000	0.000	-14.505	-33.917	18.048	-17.373	-32.259	97.390	173.147	-225.043	-10.681
251.261	194.691	62.798	0.000	0.000	0.000	0.000	0.000	0.000	-14.509	-33.894	18.038	-17.376	-32.258	97.388	173.142	-225.034	-10.683
251.260	194.690	62.808	0.000	0.000	0.000	0.000	0.000	0.000	-14.517	-33.896	18.040	-17.382	-32.255	97.383	173.142	-225.034	-10.683
251.252	194.684	62.797	0.000	0.000	0.000	0.000	0.000	0.000	-14.525	-33.889	18.025	-17.388	-32.255	97.377	173.123	-225.034	-10.686
251.270	194.686	62.810	0.000	0.000	0.000	0.000	0.000	0.000	-14.559	-33.510	18.002	-17.387	-32.263	97.367	173.134	-225.035	-10.675
251.251	194.684	62.806	0.000	0.000	0.000	0.000	0.000	0.000	-14.539	-33.858	18.004	-17.401	-32.263	97.351	173.134	-225.035	-10.675
251.240	194.668	62.804	0.000	0.000	0.000	0.000	0.000	0.000	-14.578	-33.558	17.984	-17.409	-32.266	97.336	173.146	-225.034	-10.672
251.250	194.675	62.795	0.000	0.000	0.000	0.000	0.000	0.000	-14.578	-33.586	17.967	-17.417	-32.263	97.320	173.140	-225.033	-10.672
251.241	194.668	62.795	0.000	0.000	0.000	0.000	0.000	0.000	-14.586	-33.610	17.954	-17.421	-32.268	97.304	173.139	-225.044	-10.673
251.239	194.658	62.793	0.000	0.000	0.000	0.000	0.000	0.000	-14.586	-33.640	17.938	-17.427	-32.271	97.292	173.134	-225.035	-10.675
251.248	194.665	62.795	0.000	0.000	0.000	0.000	0.000	0.000	-14.590	-33.651	17.934	-17.433	-32.269	97.286	173.152	-225.043	-10.670
251.237	194.659	62.792	0.000	0.000	0.000	0.000	0.000	0.000	-14.586	-33.675	17.931	-17.439	-32.274	97.282	173.127	-225.034	-10.675
251.237	194.658	62.801	0.000	0.000	0.000	0.000	0.000	0.000	-14.579	-33.691	17.927	-17.438	-32.271	97.274	173.142	-225.034	-10.682
251.238	194.658	62.803	0.000	0.000	0.000	0.000	0.000	0.000	-14.578	-33.700	17.919	-17.439	-32.276	97.272	173.151	-225.043	-10.670
251.238	194.647	62.803	0.000	0.000	0.000	0.000	0.000	0.000	-14.581	-33.700	17.922	-17.436	-32.278	97.268	173.139	-225.044	-10.673
251.238	194.646	62.813	0.000	0.000	0.000	0.000	0.000	0.000	-14.582	-33.708	17.921	-17.432	-32.289	97.262	173.145	-225.042	-10.670
251.238	194.647	62.803	0.000	0.000	0.000	0.000	0.000	0.000	-14.573	-33.724	17.923	-17.431	-32.285	97.264	173.139	-225.044	-10.673
251.238	194.647	62.803	0.000	0.000	0.000	0.000	0.000	0.000	-14.572	-33.726	17.921	-17.428	-32.285	97.260	173.139	-225.044	-10.673
251.229	194.641	62.801	0.000	0.000	0.000	0.000	0.000	0.000	-14.561	-33.735	17.919	-17.427	-32.284	97.264	173.151	-225.043	-10.669
251.237	194.647	62.811	0.000	0.000	0.000	0.000	0.000	0.000	-14.565	-33.734	17.909	-17.423	-32.286	97.256	173.151	-225.043	-10.669
251.237	194.647	62.811	0.000	0.000	0.000	0.000	0.000	0.000	-14.569	-33.729	17.909	-17.422	-32.287	97.253	173.151	-225.043	-10.669
251.238	194.646	62.812	0.000	0.000	0.000	0.000	0.000	0.000	-14.567	-33.731	17.903	-17.423	-32.283	97.244	173.151	-225.043	-10.669
251.238	194.645	62.822	0.000	0.000	0.000	0.000	0.000	0.000	-14.570	-33.731	17.894	-17.427	-32.281	97.237	173.146	-225.034	-10.671
251.246	194.652	62.832	0.000	0.000	0.000	0.000	0.000	0.000	-14.568	-33.725	17.897	-17.433	-32.288	97.221	173.151	-225.043	-10.669
251.240	194.655	62.822	0.000	0.000	0.000	0.000	0.000	0.000	-14.560	-33.723	17.889	-17.427	-32.285	97.216	173.151	-225.043	-10.669
251.248	194.662	62.823	0.000	0.000	0.000	0.000	0.000	0.000	-14.549	-33.741	17.887	-17.421	-32.294	97.218	173.147	-225.042	-10.680
251.248	194.663	62.813	0.000	0.000	0.000	0.000	0.000	0.000	-14.538	-33.749	17.888	-17.413	-32.295	97.214	173.147	-225.042	-10.680
251.248	194.673	62.822	0.000	0.000	0.000	0.000	0.000	0.000	-14.525	-33.749	17.892	-17.393	-32.306	97.219	173.147	-225.042	-10.679
251.250	194.673	62.813	0.000	0.000	0.000	0.000	0.000	0.000	-14.501	-33.864	17.903	-17.384	-32.311	97.236	173.139	-225.043	-10.672
251.249	194.672	62.823	0.000	0.000	0.000	0.000	0.000	0.000	-14.474	-33.872	17.921	-17.366	-32.320	97.250	173.139	-225.043	-10.672
